problem,family,algorithm,trial,seed,budget,evaluations,best_value,runtime_seconds
Rastrigin,continuous,GA,8,12034,1000,1000,8.65731406328888,0.05173449999983859
Rastrigin,continuous,GA,9,12035,1000,1000,6.605151806961317,0.04688660000010714
Rastrigin,continuous,GA,10,12036,1000,1000,9.848399924980399,0.04597560000001977
Rastrigin,continuous,GA,11,12037,1000,1000,9.639216047829706,0.046570499999688764
Rastrigin,continuous,GA,12,12038,1000,1000,11.263322199450712,0.04430489999958809
Rastrigin,continuous,GA,13,12039,1000,1000,16.669365862324817,0.046509400000104506
Rastrigin,continuous,GA,14,12040,1000,1000,10.224195379714516,0.05096679999951448
Rastrigin,continuous,GA,15,12041,1000,1000,6.913202822312371,0.0524251999995613
Rastrigin,continuous,GA,16,12042,1000,1000,6.985223653297595,0.049027400000341004
Rastrigin,continuous,GA,17,12043,1000,1000,4.767515728568597,0.05125109999971755
Rastrigin,continuous,GA,18,12044,1000,1000,6.32965343802141,0.051217600000200036
Rastrigin,continuous,GA,19,12045,1000,1000,7.195530536069043,0.08183569999982865
Rastrigin,continuous,GA,20,12046,1000,1000,12.166530763704259,0.09418720000030589
Rastrigin,continuous,GA,21,12047,1000,1000,8.402875217765967,0.160913900000196
Rastrigin,continuous,GA,22,12048,1000,1000,5.128597700084995,0.07255580000037298
Rastrigin,continuous,GA,23,12049,1000,1000,9.108471311465692,0.08932509999976901
Rastrigin,continuous,GA,24,12050,1000,1000,7.565671663364796,0.0977854999991905
Rastrigin,continuous,GA,25,12051,1000,1000,6.999441224334845,0.07882030000018858
Rastrigin,continuous,GA,26,12052,1000,1000,6.563977676093174,0.06716169999981503
Rastrigin,continuous,GA,27,12053,1000,1000,8.011332188106238,0.07742920000055165
Rastrigin,continuous,GA,28,12054,1000,1000,8.180151358471875,0.07173739999961981
Rastrigin,continuous,GA,29,12055,1000,1000,9.113700478620729,0.06974220000029163
Rastrigin,continuous,GA,30,12056,1000,1000,5.613435896470236,0.062038099999881524
Rastrigin,continuous,PSO,1,13027,1000,1000,14.494878776997638,0.008522899999661604
Rastrigin,continuous,PSO,2,13028,1000,1000,23.006960055805713,0.010654499999873224
Rastrigin,continuous,PSO,3,13029,1000,1000,25.27807384449018,0.00995379999949364
Rastrigin,continuous,PSO,4,13030,1000,1000,32.52036636422204,0.009640700000090874
Rastrigin,continuous,PSO,5,13031,1000,1000,34.40669542168371,0.010357099999964703
Rastrigin,continuous,PSO,6,13032,1000,1000,19.646040652331514,0.008669800000461692
Rastrigin,continuous,PSO,7,13033,1000,1000,36.020472947584615,0.009385700000166253
Rastrigin,continuous,PSO,8,13034,1000,1000,40.649989882267406,0.008607600000686944
Rastrigin,continuous,PSO,9,13035,1000,1000,35.99597253719428,0.007980599999427795
Rastrigin,continuous,PSO,10,13036,1000,1000,37.13549384736231,0.007929600000352366
Rastrigin,continuous,PSO,11,13037,1000,1000,37.15415645379565,0.010739100000137114
Rastrigin,continuous,PSO,12,13038,1000,1000,29.698368616330377,0.008321000000250933
Rastrigin,continuous,PSO,13,13039,1000,1000,34.10064157143405,0.008565200000703044
Rastrigin,continuous,PSO,14,13040,1000,1000,32.77003699646676,0.008030999999391497
Rastrigin,continuous,PSO,15,13041,1000,1000,24.955765204925584,0.008027500000025611
Rastrigin,continuous,PSO,16,13042,1000,1000,29.342511941876516,0.00798300000042218
Rastrigin,continuous,PSO,17,13043,1000,1000,26.64977070435345,0.012896799999907671
Rastrigin,continuous,PSO,18,13044,1000,1000,27.598003120416138,0.00807760000043345
Rastrigin,continuous,PSO,19,13045,1000,1000,20.942623034401564,0.007148800000322808
Rastrigin,continuous,PSO,20,13046,1000,1000,14.53648525577529,0.007695899999816902
Rastrigin,continuous,PSO,21,13047,1000,1000,27.89384804219641,0.0072791000002325745
Rastrigin,continuous,PSO,22,13048,1000,1000,32.655889523267305,0.00814509999963775
Rastrigin,continuous,PSO,23,13049,1000,1000,26.372003112065514,0.00812450000012177
Rastrigin,continuous,PSO,24,13050,1000,1000,20.75707682030483,0.007698999999774969
Rastrigin,continuous,PSO,25,13051,1000,1000,54.47070509032323,0.007257899999785877
Rastrigin,continuous,PSO,26,13052,1000,1000,47.28411448368233,0.009311000000707281
Rastrigin,continuous,PSO,27,13053,1000,1000,33.616906300600505,0.00929309999992256
Rastrigin,continuous,PSO,28,13054,1000,1000,21.396486471197896,0.008440000000518921
Rastrigin,continuous,PSO,29,13055,1000,1000,28.039116858852935,0.010535800000070594
Rastrigin,continuous,PSO,30,13056,1000,1000,36.57435155300901,0.03380550000019866
Rastrigin,continuous,DE,1,14027,1000,1000,47.55179906729644,0.06048290000035195
Rastrigin,continuous,DE,2,14028,1000,1000,60.25929690741438,0.08576590000029682
Rastrigin,continuous,DE,3,14029,1000,1000,54.91026631818893,0.07514389999960258
Rastrigin,continuous,DE,4,14030,1000,1000,33.257902683641575,0.057140699999763456
Rastrigin,continuous,DE,5,14031,1000,1000,40.29156523546077,0.04281460000038351
Rastrigin,continuous,DE,6,14032,1000,1000,49.58128402106046,0.04378530000030878
Rastrigin,continuous,DE,7,14033,1000,1000,50.66145361156798,0.04798610000034387
Rastrigin,continuous,DE,8,14034,1000,1000,41.15565239857154,0.052898500000083004
Rastrigin,continuous,DE,9,14035,1000,1000,55.86462682590863,0.0460640000001149
Rastrigin,continuous,DE,10,14036,1000,1000,48.181533690592715,0.0428143999997701
Rastrigin,continuous,DE,11,14037,1000,1000,39.82250098533271,0.0452010999997583
Rastrigin,continuous,DE,12,14038,1000,1000,53.960163302360144,0.04301039999973
Rastrigin,continuous,DE,13,14039,1000,1000,59.66164330361431,0.042598699999871315
Rastrigin,continuous,DE,14,14040,1000,1000,61.3651364337788,0.046414399999775924
Rastrigin,continuous,DE,15,14041,1000,1000,44.28300244477423,0.03952199999912409
Rastrigin,continuous,DE,16,14042,1000,1000,44.992475061165116,0.03715210000063962
Rastrigin,continuous,DE,17,14043,1000,1000,70.97427085798584,0.03956000000016502
Rastrigin,continuous,DE,18,14044,1000,1000,58.09029293790831,0.042787000000316766
Rastrigin,continuous,DE,19,14045,1000,1000,54.711660999160934,0.03706609999971988
Rastrigin,continuous,DE,20,14046,1000,1000,49.81711127285719,0.03902959999959421
Rastrigin,continuous,DE,21,14047,1000,1000,58.05986907398468,0.03735719999986031
Rastrigin,continuous,DE,22,14048,1000,1000,51.19535601209844,0.04799720000028174
Rastrigin,continuous,DE,23,14049,1000,1000,36.74909422613817,0.04400359999999637
Rastrigin,continuous,DE,24,14050,1000,1000,42.38497885436852,0.03904619999957504
Rastrigin,continuous,DE,25,14051,1000,1000,44.48335933790053,0.058544099999380705
Rastrigin,continuous,DE,26,14052,1000,1000,47.420636482511696,0.047255099999347294
Rastrigin,continuous,DE,27,14053,1000,1000,53.18248305994679,0.04414269999961107
Rastrigin,continuous,DE,28,14054,1000,1000,53.2314023541246,0.043298800000229676
Rastrigin,continuous,DE,29,14055,1000,1000,54.26211618625778,0.046110399999633955
Rastrigin,continuous,DE,30,14056,1000,1000,52.57973013430522,0.04790919999959442
Rastrigin,continuous,MonteCarlo,1,15027,1000,1000,60.52419069029851,0.020774200000232668
Rastrigin,continuous,MonteCarlo,2,15028,1000,1000,58.806988666559405,0.02112810000016907
Rastrigin,continuous,MonteCarlo,3,15029,1000,1000,39.72206200482252,0.024311000000125205
Rastrigin,continuous,MonteCarlo,4,15030,1000,1000,69.40979312510396,0.0344344999994064
Rastrigin,continuous,MonteCarlo,5,15031,1000,1000,64.11643022880436,0.023443699999916134
Rastrigin,continuous,MonteCarlo,6,15032,1000,1000,66.02717187881349,0.02298479999990377
Rastrigin,continuous,MonteCarlo,7,15033,1000,1000,41.468930920358474,0.019482499999867287
Rastrigin,continuous,MonteCarlo,8,15034,1000,1000,66.18922427869472,0.020401600000695908
Rastrigin,continuous,MonteCarlo,9,15035,1000,1000,64.24021035260512,0.021041599999989558
Rastrigin,continuous,MonteCarlo,10,15036,1000,1000,51.73807856244999,0.05855680000058783
Rastrigin,continuous,MonteCarlo,11,15037,1000,1000,63.27855899616068,0.03745009999965987
Rastrigin,continuous,MonteCarlo,12,15038,1000,1000,62.907071239203916,0.04860740000003716
Rastrigin,continuous,MonteCarlo,13,15039,1000,1000,62.72277908036092,0.031040099999700033
Rastrigin,continuous,MonteCarlo,14,15040,1000,1000,53.98306490110144,0.0407271000003675
Rastrigin,continuous,MonteCarlo,15,15041,1000,1000,63.70511939461838,0.030767700000069453
Rastrigin,continuous,MonteCarlo,16,15042,1000,1000,63.355040414325096,0.031672499999331194
Rastrigin,continuous,MonteCarlo,17,15043,1000,1000,55.64050246541888,0.03379599999971106
Rastrigin,continuous,MonteCarlo,18,15044,1000,1000,42.33298005525186,0.03262119999999413
Rastrigin,continuous,MonteCarlo,19,15045,1000,1000,56.62964531163897,0.0313427999999476
Rastrigin,continuous,MonteCarlo,20,15046,1000,1000,51.94945580236214,0.03369990000010148
